title,artist,album,isrc,upc,spotify_url,local_path,filename
Fantasy Relationship,Excavationpro,Done,QZ-S64-22-11897,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\33\Instrumentals\Done\Fantasy Relationship QZS642211897.wav,Fantasy Relationship QZS642211897.wav
Pineal Horizon,Excavationpro,Done,QZ-S64-22-18284,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Pineal Horizon QZS642218284.wav,Pineal Horizon QZS642218284.wav
Never Be The Same Country Karaoke Feat. Grafezzy (1) (Mastered with Clear Sky at 100pct),Excavationpro,Done,QZ-S64-22-32947,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\Never Be The Same Country Karaoke Feat. Grafezzy (1) (Mastered with Clear Sky at 100pct) QZS642232947.wav,Never Be The Same Country Karaoke Feat. Grafezzy (1) (Mastered with Clear Sky at 100pct) QZS642232947.wav
Rap To  It Challenge Poor Man Blues 2pac (Remix),Excavationpro,Done,QZ-S64-22-34533,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\36\vocal\Done\Rap To  It Challenge Poor Man Blues 2pac (Remix) QZS642234533.wav,Rap To  It Challenge Poor Man Blues 2pac (Remix) QZS642234533.wav
Connected Reality,Excavationpro,Done 2,QZ-S64-22-37059,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\16\Instru\Done 2\Connected Reality QZS642237059.wav,Connected Reality QZS642237059.wav
Play Time UK Drill Club Beat,Excavationpro,Done,QZ-S64-22-39094,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\36\vocal\Done\Play Time UK Drill Club Beat QZS642239094.wav,Play Time UK Drill Club Beat QZS642239094.wav
Gone Mastered,Excavationpro,Done,QZ-S64-22-45706,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\20\Done\Gone Mastered QZS642245706.wav,Gone Mastered QZS642245706.wav
Babe Wanna Ride Whoa,Excavationpro,Done,QZ-S64-22-52564,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\Vocals\Done\Babe Wanna Ride Whoa QZS642252564.wav,Babe Wanna Ride Whoa QZS642252564.wav
RAPPERS REVENGE MAC MILLER INSPIRED MIC DROP BEAT (Mastered with Thunder at 100pct),Excavationpro,Done,QZ-S64-22-54969,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\instrumental\Done\RAPPERS REVENGE MAC MILLER INSPIRED MIC DROP BEAT (Mastered with Thunder at 100pct) QZS642254969.wav,RAPPERS REVENGE MAC MILLER INSPIRED MIC DROP BEAT (Mastered with Thunder at 100pct) QZS642254969.wav
Something to Believe,Excavationpro,Done,QZ-S64-22-55293,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\34\instrumental\Done\Something to Believe QZS642255293.wav,Something to Believe QZS642255293.wav
